#OK
#SQL= select * from MDR1..BDMW where snapnum = 85 and z between 680.000000 and 720.000000 and Mtot > 5e13
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2013-07-25 18:47:02.521 CEST
#QUERYTIME 310 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=NInCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=hostFlag JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Vrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=Vcir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=conc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=virialRatio JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Rrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axisratio_2_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axisratio_3_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 28 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 29 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 30 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,snapnum,NInCat,hostFlag,x,y,z,vx,vy,vz,np,Mvir,Mtot,Rvir,Vrms,Vcir,conc,Xoff,virialRatio,spin,Rrms,axisratio_2_1,axisratio_3_1,axis1_x,axis1_y,axis1_z,ix,iy,iz,phkey
8507776439,85,7776439,-1,187.8177,124.2902,680.2155,-311.13,-19.52,62.49,27654,2.39800003E14,2.43900002E14,1.0166,1157.0,1066.0,4.858,0.0259,0.2722,0.0252,0.5477,0.6647,0.5886,-0.6548,-0.0569,0.7536,192,127,696,1041236041
8507777892,85,7777892,-1,164.0636,75.7643,685.3427,-219.05,36.59,141.66,6439,5.5839998E13,5.764E13,0.6299,676.6,643.9,4.312,0.0237,0.1981,0.0245,0.3449,0.7139,0.599,-0.2056,0.4481,0.87,168,77,701,1041658532
8507784018,85,7784018,8507791428,181.4605,78.4356,704.6707,-1052.96,1289.45,520.58,255,2.21100009E12,9.4270002E13,0.671,239.5,281.4,91.22,0.0124,-0.0581,1.0E-4,0.1661,0.9462,0.8835,-0.2399,0.9294,-0.2804,185,80,721,1040833026
8507784953,85,7784953,-1,130.1452,9.1735,699.6542,-247.18,-360.45,-147.03,4520,3.9199999E13,5.1099998E13,0.6052,704.9,533.5,3.033,0.109,0.8352,0.0869,0.3507,0.4599,0.3928,-0.0048,0.9892,0.1466,133,9,716,1040540932
8507786744,85,7786744,8507790857,134.2797,16.3498,703.9109,237.06,612.02,-541.74,157,1.36199995E12,5.7840002E13,0.5853,223.5,253.9,111.0,0.0232,-0.0701,3.0E-4,0.1557,0.7773,0.7096,0.9742,0.1817,0.1338,137,16,720,1040524801
8507788090,85,7788090,8507791428,180.8448,79.4231,704.6231,89.15,836.36,-293.08,89,7.7179997E11,7.8460001E13,0.4729,171.1,198.9,92.42,0.0287,-0.3216,3.0E-4,0.1021,0.9761,0.8405,0.7691,0.3548,-0.5315,185,81,721,1040833029
8507789409,85,7789409,8507791428,180.6513,78.6868,703.7059,-20.6,-1988.62,31.21,71,6.1569997E11,8.1189998E13,0.2093,146.0,162.6,20.34,0.1059,-0.4542,1.0E-4,0.0781,0.8622,0.7571,0.8958,0.4362,0.0852,184,80,720,1040833024
8507790857,85,7790857,-1,134.6205,16.8327,703.9877,-452.3,56.04,-11.44,15519,1.34599997E14,1.393E14,0.843,965.8,902.1,5.884,0.0102,0.2652,0.0166,0.457,0.6891,0.5863,0.5271,0.7609,0.3784,137,17,720,1040524806
8507791152,85,7791152,-1,176.5907,48.9026,704.0129,-272.7,193.85,-140.51,5812,5.0399998E13,5.1440001E13,0.6065,664.2,619.3,4.064,0.044,0.278,0.0471,0.3413,0.5999,0.5582,0.5371,0.2287,0.8119,180,50,720,1040603610
8507791428,85,7791428,-1,180.9723,78.2378,704.0318,-35.95,268.09,251.17,71235,6.1779997E14,6.519E14,1.4116,1498.0,1392.0,3.231,0.0344,0.2668,0.0464,0.8208,0.3989,0.3776,0.2293,0.7932,0.5641,185,80,720,1040833025
