#OK
#SQL= select h.bdmId, h.axis1_x, h.axis1_y , h.axis1_z, h.Mtot, h.Mvir, h.x, h.y, h.z, h.np from miniMDR1..BDMV h where h.snapnum = 85
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2013-07-24 20:21:25.629 CEST
#QUERYTIME 73 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,axis1_x,axis1_y,axis1_z,Mtot,Mvir,x,y,z,np
8512139648,0.5001,0.8176,-0.2854,9.7999998E11,9.7999998E11,376.6241,422.5894,822.0686,113
8512139687,0.9047,0.2519,0.3436,1.02299999E12,1.02299999E12,375.6037,455.9896,821.5078,118
8512139688,0.4528,-0.4462,0.7719,1.11000001E12,8.0649998E11,386.5789,459.3805,824.0792,93
8512139808,-0.0905,0.9847,-0.1487,1.18800004E12,1.11899994E12,386.2757,459.364,823.8633,129
8512139817,-0.8138,0.4325,0.3882,3.295E11,3.295E11,379.7938,461.651,824.95,38
8512139836,-0.1551,-0.6115,0.7759,5.46300002E11,5.29000006E11,371.6952,468.1314,821.6387,61
8512139950,0.8879,-0.4312,0.1605,7.5449998E11,7.4580001E11,383.4955,458.8577,826.043,86
8512139956,0.2713,0.2698,0.9239,1.62200001E12,1.62200001E12,380.4815,460.9398,825.48,187
8512139959,-0.6186,0.7663,0.1736,1.067E12,1.067E12,389.6255,462.5074,821.4885,123
8512139963,0.7247,-0.5275,0.4433,3.49500001E12,3.47799998E12,369.4372,467.9669,820.5311,401
8512139964,-0.1013,0.9906,-0.0914,3.48600009E12,3.46900005E12,370.2421,467.8633,820.4519,400
8512139965,0.3203,-0.7839,0.5319,1.90800003E12,1.04099997E12,374.2386,468.074,822.7466,120
8512139966,-0.3034,0.9321,0.1978,4.68300005E11,4.68300005E11,389.1884,463.884,821.507,54
8512139967,0.7991,0.5914,0.1085,2.081E11,2.081E11,391.3534,465.8879,821.1749,24
8512140019,0.4531,0.8823,0.1278,2.17700001E12,2.09000006E12,362.9375,424.1447,821.813,241
8512140046,0.6364,0.5708,0.5188,1.21400001E12,1.18800004E12,377.2034,447.7321,820.3389,137
8512140054,0.0781,0.5355,0.8409,6.7640001E11,6.7640001E11,372.1338,454.1272,821.2715,78
8512140057,0.916,-0.2362,0.3243,1.95100004E12,1.77799994E12,383.0878,458.8527,826.4838,205
8512140063,0.6867,0.4992,0.5284,3.09600007E12,2.80999992E12,386.6298,459.3906,824.1761,324
8512140064,0.527,0.7451,-0.4087,3.98900003E11,2.60200006E11,386.7976,459.6325,824.148,30
8512140070,0.3917,-0.1291,0.911,3.98900003E11,3.90200001E11,374.8946,466.9239,823.8049,45
8512140074,-0.0222,0.2205,0.9751,3.72900004E11,3.72900004E11,398.0961,470.0896,820.9785,43
8512140080,-0.1291,0.8849,0.4475,6.8509997E11,6.8509997E11,396.9769,472.8984,820.5172,79
8512140091,-0.5032,0.862,-0.0615,4.16300007E11,3.72900004E11,393.4709,482.5011,820.7396,43
8512140139,0.3418,0.618,-0.708,8.6720001E11,8.2379997E11,362.7235,424.3191,821.476,95
8512140158,0.2742,0.8845,0.3775,1.82100001E11,1.82100001E11,384.0062,431.9951,821.0376,21
8512140185,0.8331,-0.5473,-0.0802,1.73399998E11,1.73399998E11,374.068,456.9911,824.1794,20
8512140198,-0.1468,0.9859,0.0804,1.88200006E12,1.88200006E12,376.9321,464.1254,826.9125,217
8512140209,0.344,-0.0866,0.935,5.6369997E11,5.6369997E11,372.9107,468.2533,822.2588,65
8512140216,-0.5471,-0.2439,0.8007,4.16300007E11,4.16300007E11,396.5677,474.7113,820.4781,48
8512140221,0.127,-0.5691,0.8124,2.94799999E11,2.86200005E11,367.8717,477.0259,821.4772,33
8512140222,0.0269,-0.7074,0.7063,7.2850001E11,7.1110001E11,395.4933,480.7533,820.6106,82
8512140230,0.3012,-0.177,0.937,4.07600005E11,3.46900005E11,350.1006,485.765,821.5616,40
8512140277,-0.6989,0.621,0.3549,3.75499994E12,2.89599993E12,364.25,421.9147,824.9125,334
8512140331,0.8994,0.4309,0.0733,5.46300002E11,5.37700008E11,368.2315,452.5911,822.6755,62
8512140332,0.4982,-0.7319,0.465,2.24599998E12,2.21100009E12,378.1753,457.3537,824.121,255
8512140333,-0.3589,0.3745,0.8549,1.17899998E12,1.171E12,384.6319,458.9004,824.6274,135
8512140340,0.9991,0.042,0.0112,4.85600002E11,4.77000008E11,374.566,456.5648,822.9487,55
8512140347,0.9669,0.1955,0.1641,2.081E11,2.081E11,388.6179,463.6261,822.9206,24
8512140350,-0.5322,0.8227,-0.1998,4.6219998E12,3.99800009E12,374.2837,467.9219,822.8029,461
8512140351,0.8821,0.0727,-0.4654,2.51500003E11,2.51500003E11,374.9375,469.1494,821.0867,29
8512140355,0.2911,0.0467,0.9556,6.2440001E11,6.1569997E11,364.6273,473.3879,823.0015,71
8512140356,-0.1625,0.8664,-0.4723,1.40499996E12,1.35300003E12,373.9502,468.3968,821.8301,156
8512140362,0.249,-0.1063,0.9627,4.77000008E11,4.77000008E11,367.8095,476.9171,821.2617,55
8512140364,0.9232,-0.1025,0.3704,3.90200001E11,3.46900005E11,395.9489,480.3572,820.5657,40
8512140366,0.14,-0.2412,0.9603,4.51000009E11,4.51000009E11,373.8752,486.6655,821.3667,52
8512140370,0.1971,-0.1133,0.9738,2.94799999E11,2.94799999E11,339.7034,483.4203,820.476,34
8512140373,0.7923,-0.1284,-0.5965,2.16800002E11,1.90800003E11,349.9284,485.4882,821.1885,22
